SalesID,Product,Region,Sales,Year
1,Product D,South,3058.58,2026
2,Product E,East,1564.74,2026
3,Product C,West,2113.0,2022
4,Product E,South,1166.73,2023
5,Product E,South,4833.51,2026
6,Product B,East,740.11,2024
7,Product C,North,1922.0,2023
8,Product C,West,226.61,2022
9,Product C,West,1186.72,2025
10,Product E,North,3924.31,2026
11,Product D,North,1085.76,2024
12,Product C,North,492.31,2022
13,Product E,East,2424.82,2023
14,Product B,East,148.85,2026
15,Product D,West,515.35,2022
16,Product B,East,4057.37,2022
17,Product D,South,3880.22,2024
18,Product E,West,4584.18,2025
19,Product A,East,4287.13,2025
20,Product D,North,3447.56,2025
21,Product B,South,356.43,2023
22,Product E,North,3935.96,2022
23,Product D,West,4243.0,2023
24,Product A,North,4015.5,2022
25,Product A,East,2591.55,2024
26,Product C,East,1241.22,2024
27,Product C,West,4242.12,2023
28,Product B,North,3663.1,2023
29,Product D,West,4905.73,2024
30,Product D,North,862.89,2026
31,Product C,South,1205.76,2025
32,Product D,East,1137.81,2025
33,Product D,West,3983.44,2024
34,Product A,South,1015.85,2025
35,Product C,South,426.63,2026
36,Product E,West,4992.95,2026
37,Product C,West,221.6,2022
38,Product E,South,4192.7,2023
39,Product A,North,1890.3,2025
40,Product B,South,4223.92,2026
41,Product D,West,2817.64,2023
42,Product A,South,4517.99,2023
43,Product D,North,4638.35,2022
44,Product B,East,144.58,2023
45,Product B,East,469.52,2023
46,Product A,South,1326.76,2024
47,Product B,North,3379.65,2022
48,Product E,East,4452.53,2022
49,Product B,South,2353.72,2025
50,Product D,South,3074.17,2023
51,Product D,North,1023.65,2025
52,Product D,West,4044.34,2026
53,Product D,South,4839.91,2023
54,Product E,West,1416.13,2026
55,Product C,West,2524.65,2024
56,Product A,East,521.97,2023
57,Product D,West,2839.77,2025
58,Product B,North,2563.64,2025
59,Product D,East,807.74,2023
60,Product B,East,2266.12,2025
61,Product B,East,1737.11,2023
62,Product D,South,2656.97,2022
63,Product E,South,2969.71,2025
64,Product B,West,141.63,2023
65,Product B,East,3828.93,2023
66,Product D,East,3593.77,2025
67,Product B,North,1894.8,2022
68,Product B,West,359.39,2025
69,Product D,North,3799.17,2023
70,Product D,West,4780.36,2022
71,Product A,West,1276.74,2026
72,Product E,South,1685.27,2024
73,Product E,South,1000.68,2025
74,Product B,North,2926.99,2023
75,Product E,West,858.72,2022
76,Product B,East,1845.35,2022
77,Product A,South,3515.36,2026
78,Product D,East,2844.57,2025
79,Product D,North,1993.67,2022
80,Product D,South,2159.22,2026
81,Product E,South,2854.34,2023
82,Product A,West,128.74,2026
83,Product E,North,484.7,2025
84,Product E,West,4418.16,2026
85,Product A,South,481.61,2022
86,Product A,North,3563.34,2022
87,Product A,South,4608.19,2024
88,Product A,North,1426.35,2026
89,Product D,South,1915.41,2023
